Operator name,cluster,Sub-cluster,line,Because,alternative,Signage,Station arrangements,Station number,Station name,Activity at the station,Name of first download station,Distance from previous station,Distance from departure station,Travel time from departure station,Long,Lat,City,Street,No. Home
Superbus,The valleys,Yokneam,190,1,0,190,1,53436,Big Center / Odem Forest,Collect only,Tidhar School / Odem Forest,-,-,0,35,33,Yokneam Illith,Ruby forest,-
Superbus,The valleys,Yokneam,190,1,0,190,2,59589,Tidhar School / Odem Forest,Collect and download,Commercial Center / Odem Forest,693,693,1.799999952,35.091405,32.638187,Yokneam Illith,Ruby forest,-
Superbus,The valleys,Yokneam,190,1,0,190,3,53500,Commercial Center / Odem Forest,Collect and download,Odem Forest / Meron,208,901,2.316666603,35.089505,32.637428,Yokneam Illith,Ruby forest,19
Superbus,The valleys,Yokneam,190,1,0,190,4,53501,Odem Forest / Meron,Collect and download,Yitzhak Rabin Blvd. / Odem Forest,371,1272,3.049999952,35.087082,32.637134,Yokneam Illith,Ruby forest,5
Superbus,The valleys,Yokneam,190,1,0,190,5,53502,Yitzhak Rabin Blvd. / Odem Forest,Collect and download,Jordan / Hasbani,149,1421,3.383333445,35.084861,32.637567,Yokneam Illith,Yitzhak Rabin Boulevard,-
Superbus,The valleys,Yokneam,190,1,0,190,6,53438,Jordan / Hasbani,Collect and download,Jordan / Banias,294,1715,4.016666889,35.084142,32.639466,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,190,1,0,190,7,53439,Jordan / Banias,Collect and download,Jordan / Dalyot,166,1881,4.383333206,35.083875,32.640806,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,190,1,0,190,8,53440,Jordan / Dalyot,Collect and download,Jordan / Sion,294,2175,5.033333302,35.086063,32.642333,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,190,1,0,190,9,53441,Jordan / Sion,Collect and download,Jordan / Sion,190,2365,5.449999809,35.086689,32.643876,Yokneam Illith,Jordan,43
Superbus,The valleys,Yokneam,190,1,0,190,10,53442,Jordan / Sion,Collect and download,Jordan / Strait,335,2700,6.166666508,35.087946,32.644427,Yokneam Illith,Jordan,15
Superbus,The valleys,Yokneam,190,1,0,190,11,53443,Jordan / Strait,Collect and download,Rabin / Jordan Blvd.,201,2901,6.616666794,35.089195,32.643343,Yokneam Illith,Jordan,-
Superbus,The valleys,Yokneam,190,1,0,190,12,59588,Rabin / Jordan Blvd.,Collect and download,The Tze'elim / Yitzhak Rabin Boulevard,378,3279,7.433333397,35.090026,32.641802,Yokneam Illith,Yitzhak Rabin Boulevard,-
